Label;tweet
Negatif;@The_BosGenk Ada apa ni ko ada taggar  #GoodByeJokowi
Negatif;@The_BosGenk sssst,, #GoodByeJokowi  #GoodByeJokowi
Negatif;@Android_AK_47 Jangan biarkan Mahasiswa Bergerak sendirian.. Rakyat,Buruh dan STM Bersatulah dalam 1 barisan.. #GoodByeJokowi  #GoodByeJokowi
Negatif;@akunkelima212 Two period it's been so long, I can't wait anymore #GoodByeJokowi  #GoodByeJokowi
Negatif;Di era Jokowi NASAKOM dihidupkan kembali, Islam dan ummat Islam disingkirkan, dakwah dan ajaran Islam dipelintir menjadi  ISLAM NUSANTARA Ulama dan tokoh Islam dipenjarakan. Saatnya revolusi rakyat, menghacurkan rezim Jokowi yg tirani. #GoodByeJokowi #GoodByeJokowi
Negatif;Hampir tiap hari ada trand di minta mundurr... tapi sampai saat ini seperti ngak dihiraukan🤔🤔 apa dia tdk tahu atau pura-pura tdk tahu. #GoodByeJokowi
Positif;@Nicho_Silalahi Satu bangsa satu tanah air satu kata #GoodByeJokowi
Negatif;👦: Oo... jadi giniii 👧: Nah iya gitu  Emote batu mana nii #GoodByeJokowi #inisialM #BerkahRamadhanditvOne
Positif;"@handajani10 aamiiin ya rob, , 🤲  mdh""an Mak, , 🙏  #GoodByeJokowi  #GoodByeJokowi"
Positif;Agar semua berjalan normal kembali #GoodByeJokowi  #GoodByeJokowi
Positif;Kompromi,aksi,REFORMASI !! #GoodByeJokowi
Negatif;@Nicho_Silalahi @BenLoew21 Turunkan Jokowi #GoodByeJokowi  #GoodByeJokowi
Negatif;Semua pada Naik #GoodByeJokowi  https://t.co/9v9nHuwzXA
Negatif;@PecanduKretek Musuh kita bukan Ras dan Agama yang berbeda, tapi Penguasa Zalim yang akan Menghancurkan kedamaian Dunia #GoodByeJokowi  #GoodByeJokowi
Negatif;"inisial pelawak ""M"" Gw yakin bukan bang malih 😊 sehat terus bang malih tongtong #GoodByeJokowi  https://t.co/C4FVZhdfJj"
Negatif;Gak apa2 di hari lebaran gak ada baju baru, yang penting di hari lebaran ada Presiden baru #GoodByeJokowi  #GoodByeJokowi
Positif;Assalamu'alaikum...  Hempaskan kotoran penyakit di dalam hati karena orang yang memendam dendam dan benci itu akan terasa capek sendiri terlebih orang yang kamu tuju terlihat baik-baik saja bahkan tersenyum tanpa membalas kebencianmu  #GoodByeJokowi
Negatif;@myputun Jika Jokowi tidak dilengserkan secepatnya, Jokowi akan terus menindas kita dan Jokowi akan terus menggunakan BuzzeRp untuk memenjarakan siapa saja yang menentangnya.. Kita Semua bisa kena #GoodByeJokowi  #GoodByeJokowi
Netral;11 April @MprAldo insyah Allah #GoodByeJokowi  #GoodByeJokowi  https://t.co/AnN1PIxhwf
Netral;Ga kaget sama tagar #GoodByeJokowi   Coba liat beberapa hari terakhir yang terjadi di Pakistan, Sri Lanka, dan masih banyak lagi.
Negatif;#GoodByeJokowi aku hanya ingin di permudah dan di penghasilkan jualan aja  https://t.co/20CU9YRYNP
Netral;Trending di Indonesia twiter pagi ini #GoodByeJokowi  https://t.co/X7Fm01Kjen
Negatif;Semoga kita segera punya presiden baru yang berkualitas.  Panjang umur perjuangan.  #GoodByeJokowi  https://t.co/lHAapEOfWo
Positif;Semoga semoga perbuatan bapak, semasa menjabat kepala negara segera mendapat balasan serta teguran dari alloh swt.  Aminn  #GoodByeJokowi #GoodByeJokowi
Negatif;Ayooo ikut turun dong warganet..jgn berisik di medsos doang... tunjukkan kepedulian kalian untuk kebaikan negeri ini...kita lengserkn pakde dkk...bismillah semoga 11 April hr terakhr pakde jadi presiden...aamiin Allahumma aamiin🤲🏼  #GoodByeJokowi  #GoodByeJokowi  https://t.co/WzwI2vRXFz
Negatif;@YanHarahap @DonAdam68 #JokowiHARUSDiturunkan  #GoodByeJokowi  #TangkapSemuaAntek2RezimJokowiPerusakBangsa
Negatif;Kayak gini aje viral...#inisialM #GoodByeJokowi
Netral;@DivHumas_Polri @CCICPolri lapor pak #GoodByeJokowi
Negatif;@Helmi_Felis @jokowi #JokowiHARUSDiturunkan  #GoodByeJokowi  #TangkapSemuaAntek2RezimJokowiPerusakBangsa
Positif;Sesuai konstitusi aja adek2 mahasiswa mahasiswi.. jangan dipaksain #GoodByeJokowi
Negatif;Tahu apa Anda ttg demokrasi❓ #GoodByeJokowi
Negatif;#JokowiHARUSDiturunkan  #GoodByeJokowi  #TangkapSemuaAntek2RezimJokowiPerusakBangsa
Positif;Bulan Ramadhan adalah Bulan Perjuangan,Selamatkan Indonesia dari cengkeramam Oligarki #GoodByeJokowi
Negatif;@hc_poirot @msaid_didu #JokowiHARUSDiturunkan  #GoodByeJokowi  #TangkapSemuaAntek2RezimJokowiPerusakBangsa
